n,R,d,I,Rapprox
365,0.2546,0.01059,0.2516,0.2691
366,0.2553,0.01058,0.2516,0.2691
367,0.2552,0.01057,0.2516,0.2691
368,0.2546,0.01056,0.2516,0.269
369,0.2553,0.01055,0.2516,0.269
370,0.2552,0.01054,0.2516,0.269
371,0.2546,0.01052,0.2516,0.269
372,0.2553,0.01051,0.2516,0.269
373,0.2552,0.0105,0.2516,0.2689
374,0.2545,0.01049,0.2516,0.2689
375,0.2552,0.01048,0.2516,0.2689
376,0.2551,0.01046,0.2516,0.2689
377,0.2545,0.01045,0.2516,0.2688
378,0.2552,0.01044,0.2516,0.2688
379,0.2551,0.01043,0.2516,0.2688
380,0.2545,0.01042,0.2516,0.2688
381,0.2552,0.01041,0.2516,0.2687
382,0.2551,0.0104,0.2516,0.2687
383,0.2545,0.01038,0.2516,0.2687
384,0.2551,0.01037,0.2516,0.2687
385,0.255,0.01036,0.2516,0.2687
386,0.2545,0.01035,0.2516,0.2686
387,0.2542,0.01034,0.2516,0.2686
388,0.255,0.01033,0.2516,0.2686
389,0.2544,0.01032,0.2516,0.2686
390,0.2542,0.01031,0.2516,0.2685
391,0.255,0.0103,0.2516,0.2685
392,0.2544,0.01029,0.2516,0.2685
393,0.2542,0.01027,0.2516,0.2685
394,0.2549,0.01026,0.2516,0.2685
395,0.2544,0.01025,0.2516,0.2684
396,0.2541,0.01024,0.2516,0.2684
397,0.2549,0.01023,0.2516,0.2684
398,0.2544,0.01022,0.2516,0.2684
399,0.2541,0.01021,0.2516,0.2684
400,0.2549,0.0102,0.2516,0.2683
401,0.2543,0.01019,0.2516,0.2683
402,0.2541,0.01018,0.2516,0.2683
403,0.2549,0.01017,0.2516,0.2683
404,0.2543,0.01016,0.2516,0.2683
405,0.2541,0.01015,0.2516,0.2682
406,0.2548,0.01014,0.2516,0.2682
407,0.2543,0.01013,0.2516,0.2682
408,0.2541,0.01012,0.2516,0.2682
409,0.2548,0.0101,0.2516,0.2681
410,0.2543,0.01009,0.2516,0.2681
411,0.2541,0.01008,0.2516,0.2681
412,0.2548,0.01007,0.2516,0.2681
413,0.2543,0.01006,0.2516,0.2681
414,0.254,0.01005,0.2516,0.268
415,0.2547,0.01004,0.2516,0.268
416,0.2542,0.01003,0.2516,0.268
417,0.254,0.01002,0.2516,0.268
418,0.2547,0.01001,0.2516,0.268
419,0.2542,0.01,0.2516,0.268
420,0.254,0.009994,0.2516,0.2679
421,0.2547,0.009984,0.2516,0.2679
422,0.2542,0.009974,0.2516,0.2679
423,0.254,0.009964,0.2516,0.2679
424,0.2547,0.009954,0.2516,0.2679
425,0.2542,0.009944,0.2516,0.2678
426,0.2539,0.009935,0.2516,0.2678
427,0.2546,0.009925,0.2516,0.2678
428,0.2542,0.009915,0.2516,0.2678
429,0.2539,0.009906,0.2516,0.2678
430,0.2546,0.009896,0.2516,0.2677
431,0.2541,0.009886,0.2516,0.2677
432,0.2539,0.009877,0.2516,0.2677
433,0.2546,0.009867,0.2516,0.2677
434,0.2541,0.009858,0.2516,0.2677
435,0.2539,0.009848,0.2516,0.2676
436,0.2546,0.009839,0.2516,0.2676
437,0.2541,0.009829,0.2516,0.2676
438,0.2539,0.00982,0.2516,0.2676
439,0.2545,0.009811,0.2516,0.2676
440,0.2541,0.009801,0.2516,0.2676
441,0.2538,0.009792,0.2516,0.2675
442,0.2545,0.009783,0.2516,0.2675
443,0.2541,0.009774,0.2516,0.2675
444,0.2538,0.009764,0.2516,0.2675
445,0.2535,0.009755,0.2516,0.2675
446,0.2547,0.009746,0.2516,0.2674
447,0.2538,0.009737,0.2516,0.2674
448,0.2535,0.009728,0.2516,0.2674
449,0.2547,0.009719,0.2516,0.2674
450,0.2538,0.00971,0.2516,0.2674
451,0.2535,0.009701,0.2516,0.2674
452,0.2546,0.009692,0.2516,0.2673
453,0.2538,0.009683,0.2516,0.2673
454,0.2535,0.009674,0.2516,0.2673
455,0.2546,0.009665,0.2516,0.2673
456,0.2538,0.009656,0.2516,0.2673
457,0.2534,0.009647,0.2516,0.2673
458,0.2546,0.009638,0.2516,0.2672
459,0.2537,0.00963,0.2516,0.2672
460,0.2534,0.009621,0.2516,0.2672
461,0.2546,0.009612,0.2516,0.2672
462,0.2537,0.009603,0.2516,0.2672
463,0.2534,0.009595,0.2516,0.2672
464,0.2545,0.009586,0.2516,0.2671
465,0.2537,0.009577,0.2516,0.2671
466,0.2534,0.009569,0.2516,0.2671
467,0.2545,0.00956,0.2516,0.2671
468,0.2537,0.009552,0.2516,0.2671
469,0.2534,0.009543,0.2516,0.2671
470,0.2545,0.009535,0.2516,0.267
471,0.2537,0.009526,0.2516,0.267
472,0.2534,0.009518,0.2516,0.267
473,0.2545,0.009509,0.2516,0.267
474,0.2537,0.009501,0.2516,0.267
475,0.2534,0.009492,0.2516,0.267
476,0.2545,0.009484,0.2516,0.2669
477,0.2537,0.009476,0.2516,0.2669
478,0.2534,0.009467,0.2516,0.2669
479,0.2544,0.009459,0.2516,0.2669
